"GBP/USD",1.2290
"OCADO GROUP PLC ORD 2P",256.60
"GBP/EUR",1.1570
"FTSE 250",18882.86
"FTSE 100",7374.26
"S&P 500",2383.12
"GBP/CAD",1.6426
